"GR","NPHI","RHOB","RT","PHIE"
111.87,0.1797,2.269,1.51,0.230504
112.42,0.2368,2.256,1.45,0.198952
97.47,0.2419,2.215,1.4,0.235773
98.19,0.2397,2.209,1.42,0.236079
96.98,0.2395,2.198,1.42,0.241061
94.27,0.2363,2.169,1.46,0.251147
93.01,0.2294,2.168,1.47,0.250896
100.07,0.2134,2.171,1.41,0.237296
91.96,0.2132,2.185,1.42,0.241703
82.95,0.2122,2.18,1.45,0.251871
79.68,0.1968,2.175,1.46,0.25101
83.83,0.2019,2.174,1.47,0.249124
94.26,0.2105,2.17,1.47,0.241746
98.97,0.2122,2.168,1.51,0.237335
93.74,0.2168,2.173,1.5,0.244683
88.55,0.261,2.174,1.49,0.266656
95.14,0.2641,2.183,1.5,0.256112
94.54,0.2507,2.183,1.55,0.25364
87.31,0.2522,2.166,1.55,0.268231
83.67,0.279,2.166,1.56,0.279442
80.28,0.2659,2.161,1.54,0.282261
88.04,0.2499,2.161,1.52,0.26804
96.51,0.2504,2.162,1.52,0.258505
100.27,0.2554,2.165,1.53,0.25333
98.66,0.2716,2.169,1.54,0.256533
96.8,0.2523,2.176,1.55,0.252446
95.08,0.2209,2.182,1.56,0.242498
92.25,0.2376,2.196,1.57,0.24634
94.62,0.2559,2.2,1.58,0.249883
103.15,0.2623,2.209,1.6,0.238687
99.19,0.263,2.209,1.6,0.24323
97.36,0.2648,2.234,1.6,0.238029
92.74,0.2661,2.234,1.65,0.24028
95.52,0.272,2.234,1.66,0.235815
99.84,0.2171,2.237,1.68,0.214426
101.71,0.1851,2.236,1.68,0.203271
102.38,0.2769,2.195,1.69,0.247265
103.13,0.2819,2.209,1.69,0.24502
99.56,0.2362,2.216,1.68,0.227474
96.21,0.2307,2.223,1.67,0.227809
98.05,0.2224,2.232,1.66,0.22101
99.66,0.2267,2.259,1.67,0.210902
101.33,0.2778,2.264,1.67,0.180034
101.98,0.281,2.251,1.67,0.198379
103.16,0.2611,2.24,1.64,0.227518
103.16,0.261,2.248,1.62,0.224846
120.5,0.2796,2.281,1.59,0.111107
118.99,0.2797,2.261,1.58,0.181684
114.76,0.2616,2.256,1.53,0.221814
118.3,0.2606,2.259,1.53,0.219342
124,0.2694,2.256,1.53,0.213125
130.26,0.267,2.252,1.54,0.213155
133.31,0.2345,2.266,1.57,0.227908
132.14,0.2348,2.27,1.58,0.224501
132.14,0.2695,2.293,1.59,0.127305
112.45,0.268,2.293,1.6,0.136774
115.21,0.258,2.267,1.61,0.212593
125.46,0.2285,2.275,1.62,0.222682
121.99,0.2104,2.312,1.62,0.198905
121.57,0.2188,2.308,1.61,0.198754
105.46,0.2227,2.305,1.61,0.199491
109.89,0.241,2.289,1.6,0.203282
114.56,0.2429,2.28,1.6,0.21118
113.86,0.2577,2.251,1.55,0.207059
118.3,0.2724,2.248,1.55,0.20426
119.36,0.2649,2.243,1.48,0.221172
119.37,0.1906,2.234,1.48,0.2517
110.42,0.1832,2.226,1.48,0.256544
108.46,0.1841,2.211,1.48,0.264713
113.58,0.1888,2.205,1.44,0.266103
97.83,0.2345,2.185,1.44,0.242794
101.16,0.2392,2.178,1.45,0.240468
115.88,0.2394,2.158,1.45,0.224001
117.44,0.2419,2.137,1.42,0.223959
118.22,0.2421,2.123,1.43,0.232129
102.97,0.2589,2.139,1.44,0.255254
101.82,0.2757,2.139,1.46,0.264667
106.65,0.2743,2.104,1.46,0.273541
108.27,0.2604,2.104,1.46,0.265682
112.4,0.259,2.083,1.43,0.26065
109.23,0.2603,2.083,1.37,0.266158
104.32,0.2731,2.042,1.37,0.296214
108.98,0.274,2.042,1.26,0.281373
110.9,0.2675,2.102,1.26,0.263749
107.77,0.2433,2.121,1.26,0.250267
106.15,0.2344,2.191,1.36,0.22972
103.15,0.2522,2.214,1.36,0.232316
