"depth","lith","agk","ang","por"
1122.9,"11",0.0035,0.77567,0.02347
1123,"11",0.00672,0.76953,0.02378
1123.1,"11",0.01873,0.76573,0.02305
1123.2,"11",0.03026,0.77463,0.02115
1123.3,"11",0.03775,0.79942,0.01913
1123.4,"11",0.04178,0.82836,0.01748
1123.5,"11",0.03716,0.85432,0.01627
1123.6,"11",0.03269,0.87509,0.01595
1123.7,"11",0.03332,0.88082,0.01617
1123.8,"11",0.03362,0.87676,0.01646
1123.9,"11",0.03547,0.87162,0.01699
1124,"11",0.0333,0.86253,0.01753
1124.1,"11",0.02285,0.85348,0.01712
1124.2,"11",0.01081,0.8603,0.01622
1124.3,"11",0.00058,0.87596,0.01552
1124.4,"11",0,0.88863,0.01474
1124.5,"11",0.00329,0.90356,0.01488
1124.6,"11",0.0071,0.90067,0.01652
1124.7,"11",0.00674,0.87065,0.01824
1124.8,"11",0.0103,0.8421,0.01954
1124.9,"11",0.0095,0.82225,0.02103
1125,"11",0.00718,0.80114,0.02108
1125.1,"11",0.0122,0.80036,0.01978
1125.2,"11",0.01697,0.81876,0.01886
1125.3,"11",0.01649,0.83252,0.0183
1125.4,"11",0.01017,0.84117,0.01759
1125.5,"11",0,0.85264,0.01682
1125.6,"11",0,0.8654,0.01657
1125.7,"11",0,0.86976,0.01521
1125.8,"11",0,0.89436,0.01324
1125.9,"11",0,0.93433,0.01297
1126,"11",0,0.94032,0.01371
1126.1,"11",0,0.92432,0.01375
1126.2,"11",0.00055,0.92361,0.01462
1126.3,"11",0,0.90591,0.01784
1126.4,"11",0,0.84848,0.02043
1126.5,"11",0,0.80944,0.02079
1126.6,"11",0,0.80439,0.02155
1126.7,"11",0.00324,0.79408,0.02346
1126.8,"11",0.0054,0.76958,0.02376
1126.9,"11",0.00353,0.76597,0.02212
1127,"11",0.00956,0.78657,0.02124
1127.1,"11",0.01845,0.79817,0.01986
1127.2,"11",0.02375,0.81752,0.01766
1127.3,"11",0.03212,0.85149,0.01584
1127.4,"11",0.0392,0.88281,0.01487
1127.5,"11",0.03567,0.90089,0.01525
1127.6,"11",0.02725,0.89378,0.01733
1127.7,"11",0.02024,0.85686,0.02048
1127.8,"11",0.01593,0.80874,0.02405
1127.9,"11",0.01693,0.76239,0.02758
1128,"11",0.01483,0.72299,0.02911
1128.1,"11",0.00899,0.70738,0.03076
1128.2,"11",0.00673,0.69154,0.03327
1128.3,"11",0.00415,0.66896,0.03356
1128.4,"11",0.00267,0.66639,0.03307
1128.5,"11",0.00794,0.67063,0.035
1128.6,"11",0.01577,0.65434,0.03652
1128.7,"11",0.02071,0.64206,0.03555
1128.8,"11",0.01938,0.64982,0.03602
1128.9,"11",0.0128,0.64604,0.03653
1129,"11",0.00588,0.64202,0.03393
1129.1,"11",0,0.66328,0.03232
1129.2,"11",0.00129,0.67728,0.03318
1129.3,"11",0.01206,0.66969,0.03307
1129.4,"11",0.02128,0.67064,0.03323
1129.5,"11",0.02739,0.66931,0.03589
1129.6,"11",0.02726,0.64708,0.03747
1129.7,"11",0.01549,0.63467,0.03695
1129.8,"11",0.00431,0.63868,0.03767
1129.9,"11",8e-05,0.63317,0.04001
1130,"11",0,0.61578,0.04102
1130.1,"11",0.0013,0.60862,0.03857
1130.2,"11",0.00684,0.62635,0.03544
1130.3,"11",0.0053,0.65075,0.03528
1130.4,"11",0.00287,0.65204,0.03582
1130.5,"11",0.00201,0.64769,0.03582
1130.6,"11",0.00205,0.64767,0.03804
1130.7,"11",0.00553,0.6303,0.03948
1130.8,"11",0.00791,0.61964,0.03667
1130.9,"11",0.00729,0.64093,0.0334
1131,"11",0.00436,0.6678,0.03076
1131.1,"11",0,0.6915,0.02735
1131.2,"11",1e-05,0.72543,0.02534
1131.3,"11",0.00799,0.74743,0.02533
1131.4,"11",0.01585,0.74748,0.02534
1131.5,"11",0.02476,0.74735,0.02555
1131.6,"11",0.03097,0.74499,0.02703
1131.7,"11",0.02782,0.72877,0.02745
1131.8,"11",0.02284,0.7243,0.02595
1131.9,"11",0.02003,0.74049,0.02466
1132,"11",0.01994,0.75523,0.02335
1132.1,"11",0.02506,0.77097,0.02171
1132.2,"11",0.03074,0.79188,0.0215
1132.3,"11",0.03307,0.7947,0.0225
1132.4,"11",0.03267,0.78165,0.02326
1132.5,"11",0.02847,0.77205,0.0245
1132.6,"11",0.01822,0.7571,0.0265
1132.7,"11",0.00751,0.73451,0.02749
1132.8,"11",0.00058,0.7239,0.02736
1132.9,"11",0,0.72533,0.02758
1133,"11",0.00066,0.72299,0.02727
1133.1,"11",0.01423,0.72623,0.02645
1133.2,"11",0.02553,0.73505,0.02676
1133.3,"11",0.03064,0.7317,0.02814
1133.4,"11",0.03715,0.71718,0.02914
1133.5,"11",0.038,0.70711,0.0296
1133.6,"11",0.0317,0.70257,0.0297
1133.7,"11",0.02951,0.70161,0.02993
1133.8,"11",0.02317,0.69944,0.02956
1133.9,"11",0.01036,0.70303,0.02895
1134,"11",0,0.70905,0.0283
1134.1,"11",0,0.71559,0.02708
1134.2,"11",0,0.7282,0.02512
1134.3,"11",0,0.74985,0.02256
1134.4,"11",0.01643,0.78093,0.01984
1134.5,"11",0.03555,0.81795,0.01599
1134.6,"11",0.05641,0.87999,0.01249
1134.7,"11",0.07592,0.95132,0.01054
1134.8,"11",0.08514,1,0.01054
1134.9,"11",0.08439,1,0.01054
1135,"11",0.07603,1,0.01054
1135.1,"11",0.06184,1,0.01054
1135.2,"11",0.04955,1,0.01054
1135.3,"11",0.04583,1,0.01054
1135.4,"11",0.05076,1,0.01103
1135.5,"11",0.0634,0.98699,0.01169
1135.6,"11",0.08503,0.97032,0.01168
1135.7,"11",0.1069,0.97042,0.01176
1135.8,"11",0.11478,0.96847,0.01155
1135.9,"11",0.11153,0.97375,0.01114
1136,"11",0.10352,0.98413,0.01132
1136.1,"11",0.08705,0.97959,0.01145
1136.2,"11",0.07098,0.97629,0.01113
1136.3,"11",0.06935,0.98451,0.0106
1136.4,"11",0.07788,0.99839,0.01054
1136.5,"11",0.09224,1,0.01054
1136.6,"11",0.10345,1,0.01054
1136.7,"11",0.10685,1,0.01054
1136.8,"11",0.11534,1,0.01101
1136.9,"11",0.12371,0.98761,0.01131
1137,"11",0.1332,0.9797,0.01083
1137.1,"11",0.15112,0.99219,0.01054
1137.2,"11",0.15908,1,0.01054
1137.3,"11",0.15105,1,0.01054
1137.4,"11",0.1439,1,0.01054
1137.5,"11",0.13418,1,0.01054
1137.6,"11",0.12215,1,0.01054
1137.7,"11",0.12448,1,0.01054
1137.8,"11",0.12752,1,0.01054
1137.9,"11",0.12062,1,0.01054
1138,"11",0.12215,1,0.01054
1138.1,"11",0.12832,1,0.01054
1138.2,"11",0.12706,1,0.01054
1138.3,"11",0.12921,1,0.01054
1138.4,"11",0.13619,1,0.01054
1138.5,"11",0.13168,1,0.01054
1138.6,"11",0.12325,1,0.01054
1138.7,"11",0.12269,1,0.01054
1138.8,"11",0.11139,1,0.011
1138.9,"11",0.09155,0.98792,0.01197
